#QM    interpInQMgrid400k    MM
-1.539435 -1.479308 -0.742695
0.479197 0.498223 0.607326
-0.513311 -0.382965 -0.106011
-1.086013 -0.976815 -0.645815
1.592043 1.507532 0.640341
0.099131 0.088164 -0.004347
-0.143617 -0.157065 -0.329984
-0.881901 -0.893293 -0.370469
-4.705513 -4.435935 -0.507400
6.613897 6.511272 -1.675607
12.273079 12.233044 0.929208
0.329303 0.448707 -0.049490
-0.383770 -0.301965 -0.299108
-0.230718 -0.242452 0.067629
0.677844 0.697677 0.296076
-0.936801 -1.159229 -0.339962
-0.345145 -0.629858 -0.243914
0.661137 0.567093 0.299476
0.294615 0.217146 0.087811
0.042387 -0.044453 -0.020971
-2.810883 -2.843901 0.027158
8.609201 8.598267 2.007245
-1.309036 -1.304815 -0.269909
-0.826391 -0.932549 -0.346190
0.028447 -0.180059 0.180663
-0.564269 -0.686124 -0.175082
-1.012206 -1.010016 -0.113120
0.627328 0.602852 0.354954
-0.131676 -0.137240 -0.261454
-0.374182 -0.077256 -0.021569
-1.097340 -1.164500 -0.691356
-1.395076 -1.161761 -0.559348
0.106962 0.092670 0.066801
-0.262352 -0.210807 -0.107196
0.035560 0.077099 0.001442
-0.257898 -0.219759 -0.025103
-0.073056 -0.075891 0.026087
0.013429 0.080482 -0.055761
-0.032106 -0.027000 -0.006903
0.071653 0.048449 0.034149
-0.129569 -0.111604 -0.060173
-10.398462 -10.323530 0.745699
3.752609 3.693447 -0.354170
-11.975449 -11.894429 -1.473277
2.496445 1.975370 1.550575
-2.564172 -2.406701 0.064993
-8.563460 -7.628801 -1.531275
0.017346 -0.077189 -0.050634
-0.305513 -0.196984 -0.278206
-1.111892 -0.837012 -0.427397
-7.789833 -7.698751 -2.198975
2.694903 2.701054 -0.362757
0.027756 0.123978 -0.165620
-0.657222 -0.862125 -0.363883
-0.104633 -0.021933 0.148813
0.728383 0.712880 0.144025
2.142634 2.158267 1.312859
-0.125188 0.072405 0.247827
-0.241463 -0.304938 0.201149
-0.954142 -0.965753 -0.579193
-1.263714 -1.222883 -0.540950
-0.243634 -0.295614 -0.482639
-0.270274 -0.306842 -0.160062
-0.274841 -0.403759 -0.250362
0.176528 0.192362 0.137943
0.730018 0.843860 0.171886
0.529965 0.536485 0.149144
-0.240212 -0.247533 -0.223776
19.304723 19.153561 1.489363
-0.512617 -0.492780 -0.691504
18.396239 18.357713 3.774106
-0.007576 0.051633 -0.011776
0.138220 0.134324 0.099551
0.118624 0.129039 0.080895
-0.408081 -0.543756 -0.178428
-0.136780 -0.149706 -0.107605
-0.246555 -0.448948 -0.117146
9.640829 9.631375 -2.553276
1.990941 2.007814 1.615314
-14.666898 -14.945409 -1.122640
-4.056043 -3.129312 -1.146856
5.316776 5.597718 0.694493
-4.264107 -4.221029 -1.719620
0.490717 0.709817 0.349506
0.160745 0.223903 0.081682
0.033075 0.080117 0.041504
-0.048451 -0.105013 -0.060791
0.107515 0.171641 0.001885
-0.620445 -0.595285 -0.246177
-3.325741 -3.339020 -0.900632
-2.396012 -2.393860 -0.630068
0.499828 0.475058 0.556487
5.006039 5.668057 1.552695
0.187605 1.305642 -0.087244
0.818394 1.146469 -0.007195
3.543866 3.583888 1.411488
-2.630412 -2.647741 -0.997424
-6.448767 -6.476369 -1.768340
-1.551605 -1.529595 -0.863835
-1.485729 -1.482326 -0.839216
0.617462 0.607596 0.163598
-1.032770 -1.049083 -2.006124
-0.019790 0.207492 -1.121301
0.115410 0.069406 1.794733
-0.044863 -0.043140 0.575487
0.115532 0.184296 0.893467
-2.079584 -2.084780 -0.225227
-1.216107 -0.742518 -0.276734
-0.125102 -0.011254 -0.109331
0.925611 0.461705 0.000995
-17.381603 -17.360630 -2.577547
5.312421 5.314899 0.374054
3.776819 3.819376 -0.788596
1.500967 1.114879 0.519448
0.344089 0.468662 0.224730
-0.163317 -0.003395 0.069854
-0.080330 -0.094913 -0.052503
-0.013798 0.028463 -0.003077
-0.076694 -0.141145 -0.061865
0.174189 0.203153 0.106288
-0.296016 -0.424712 -0.205172
0.117716 0.188479 0.079835
-0.995754 -0.985630 -0.611581
-1.940779 -1.728667 1.173415
-1.757262 -1.989227 -1.651245
0.208940 0.003771 0.081395
-0.614985 -0.579912 -0.187819
-0.951527 -0.757718 -0.568735
0.191567 0.089624 0.103911
0.104121 0.037160 0.044799
-0.064420 -0.029217 -0.017653
-14.096498 -14.210030 -2.587559
-27.226687 -26.916906 -3.411153
-11.929773 -11.744567 0.322499
-0.477760 -0.421623 -0.148995
-0.301716 -0.239288 -0.049048
0.080700 0.070626 0.124741
0.406184 0.321291 0.236532
0.058138 0.144576 0.019520
0.457638 0.394499 0.124103
2.136922 2.280068 -0.366703
1.983655 2.050542 1.155164
-1.550232 -1.686667 0.112288
-0.370364 -0.348280 0.333691
0.825008 0.723821 0.253090
0.099228 0.112023 -0.422145
-0.014239 -0.028502 0.016920
0.216330 0.204535 0.113724
0.096718 0.034518 0.048389
16.824708 16.734740 2.133525
-1.495701 -1.434099 2.179439
24.762517 24.620659 4.003201
-0.203578 -0.181986 0.003636
-0.199900 -0.183046 -0.123446
-0.145507 -0.124105 -0.054282
0.188091 0.426374 0.078049
-0.653153 -0.872267 -0.316501
-0.203669 -0.260129 -0.078592
0.655796 0.658336 0.211714
0.191659 0.396840 0.330809
0.500447 0.521470 -0.155905
-36.748559 -37.004924 -3.732168
19.875442 19.644511 2.471371
-13.302063 -13.305349 -2.279535
-8.744916 -8.763446 0.547131
2.299847 2.477629 2.198955
17.703457 17.768323 1.432896
0.500666 0.693386 0.558575
0.449401 0.481143 0.451550
0.525166 0.551998 -0.109229
1.421984 1.851416 -0.126593
-0.813486 -0.834719 -0.328428
-0.806001 -1.223905 -1.096106
-1.113330 -1.087595 -0.336561
0.256536 0.300276 0.009536
-0.827945 -0.726880 -0.245766
0.025324 0.036173 0.025930
-0.134585 -0.095198 -0.085230
0.042649 0.010185 0.009835
-0.101179 -0.094651 -0.113653
0.020362 0.022018 0.037287
-0.171524 -0.110467 -0.078881
0.119381 0.069444 0.130314
0.083304 0.150390 0.100855
0.265918 0.092828 0.105115
-0.033133 -0.027152 -0.013659
-0.076561 -0.028055 -0.003215
0.021403 0.009798 0.006357
-0.008166 -0.009811 0.010616
0.038362 0.024047 -0.002422
0.156635 0.175125 0.112616
1.027745 0.990170 0.787029
-0.526391 -0.547738 -0.376682
-1.263845 -1.244358 -0.691253
0.166170 0.130214 0.922530
-0.370843 -0.244091 -0.653025
-5.509655 -5.483092 1.181343
0.060835 0.014007 0.181788
-0.659129 -0.564215 -0.281767
0.228241 0.257602 0.191064
0.212995 0.293369 0.124163
0.252771 0.270062 0.122327
-0.199434 -0.160532 -0.175129
0.128175 0.154157 0.068415
-0.130807 -0.077915 -0.037728
-0.115744 -0.067019 -0.006694
-1.431714 -1.131397 -0.618026
0.396954 0.289637 0.293816
-0.347984 -0.257163 -0.157231
-0.025623 0.018824 0.006465
-0.340436 -0.324784 -0.051243
0.219211 0.169922 0.180282
0.249614 0.126366 0.115275
-0.557883 -0.440998 -0.200627
-0.592062 -0.538098 -0.152299
-1.991886 -1.973325 -0.829550
-0.290551 -0.383028 -0.066179
1.131263 1.048274 0.039799
-0.469808 -0.363659 -0.681517
-3.926128 -4.058157 -0.687704
-1.447752 -1.445354 -0.525980
0.208261 0.280147 0.124903
0.533596 0.497696 0.291021
-0.439866 -0.413711 -0.079613
-0.104357 -0.055787 -0.050667
-0.260733 -0.309921 -0.090259
-0.503401 -0.458922 -0.350071
1.470442 1.496006 0.744870
1.007014 0.898363 0.265678
-1.218061 -1.277829 -0.647661
0.873386 0.595730 0.449509
1.241940 1.266458 0.534772
0.375190 0.428490 0.211451
-0.048345 -0.099092 -0.054217
-0.007574 -0.023986 0.087436
-0.588588 -0.506919 -0.238257
-0.013371 0.035267 -0.020024
0.360217 0.514094 0.249108
-0.070065 -0.038416 -0.130330
-0.002488 -0.020945 0.008691
0.364814 0.323982 0.177832
-0.029804 0.068515 0.023281
0.279890 0.268859 -0.387042
2.894510 2.874876 0.475447
-0.107635 -0.200702 -0.697743
-0.128878 -0.153851 -0.099695
-0.504661 -0.315342 -0.216057
0.414444 0.251455 0.138392
-1.467400 -1.461444 -0.576774
-1.775825 -1.070502 -0.347065
1.288848 1.328185 0.807941
0.006044 -0.119231 0.039472
0.663329 0.690089 0.284712
-0.406618 -0.409533 -0.212154
-1.628699 -1.518079 3.296222
34.600240 33.595171 -0.232444
-20.298778 -19.938938 0.672113
-1.260982 -0.468978 -0.297476
0.480850 0.538635 0.369555
-2.323107 -2.325071 -1.193475
0.355368 0.294952 0.107468
0.328183 0.256769 -0.067397
-0.211648 -0.169475 -0.047966
6.625848 7.169393 2.387919
-10.201536 -10.219465 0.160238
-7.397247 -6.913299 1.254166
0.053121 0.023311 0.063018
-0.352850 -0.081158 -0.109640
1.031784 1.103402 0.507412
-0.097466 -0.066024 -0.085505
0.066057 0.018338 0.052770
-0.079269 0.023890 0.000940
1.584317 1.536951 0.042836
1.519016 1.538384 0.924346
1.532245 1.522373 0.067961
2.264560 2.251581 0.097131
-4.915092 -4.866820 1.895005
-3.057198 -3.007522 -0.986541
-0.717109 -0.812917 -0.530341
-1.583251 -1.238997 -0.460933
1.127027 0.853827 0.203534
4.673715 4.773704 -0.077334
-5.440804 -5.406521 0.795741
0.596744 0.619493 -0.798667
-0.992996 -0.779771 -0.075708
2.691029 2.685704 1.064109
0.275307 -0.101699 0.287882
-0.166165 -0.187885 -0.009542
0.061582 -0.006960 0.037959
0.150349 0.181749 0.138883
0.362213 0.229140 -0.012013
0.056989 0.146164 0.019888
0.208914 0.287898 0.047895
0.829813 0.870363 0.475615
-0.457525 -0.266144 -0.061474
-1.028164 -1.147407 -0.622434
2.877645 2.661701 -3.182062
-19.896589 -23.252302 -1.404039
68.545986 67.831724 8.101326
-0.093990 -0.118317 -0.062347
-0.519355 -0.490841 -0.252765
0.292727 0.322663 0.128844
-0.068640 -0.103337 -0.039106
0.174885 0.238589 0.074156
0.050598 0.063134 0.018851
0.757529 0.776176 0.472449
0.052480 0.104884 0.032045
1.155238 0.994733 0.517288
0.112488 -0.010695 0.133601
-0.181087 -0.210480 -0.082542
0.175984 0.156114 0.125175
-0.610374 -0.526414 -0.370986
-0.287143 -0.249323 -0.118616
-0.124323 -0.029293 -0.093446
9.768320 9.907204 4.233417
-37.903996 -38.059073 -5.069497
-8.873622 -8.798707 -1.730644
-0.013700 -0.046812 0.000582
0.008130 -0.031056 -0.003743
-0.110514 -0.079806 -0.076534
-0.682972 -0.633135 -0.099037
-0.744745 -0.667898 -0.172046
-0.091282 -0.016724 -0.139726
0.216100 0.263037 0.214758
-0.147088 -0.204100 -0.140055
0.115403 0.093737 0.067348
-0.083128 -0.329527 0.018097
0.390052 0.497432 0.113576
-0.196750 -0.081890 -0.187086
0.014398 0.146032 -0.004494
-0.018177 -0.018968 -0.029692
-0.124772 -0.138051 -0.092675
-23.834534 -23.614969 -2.509373
-10.278830 -10.276206 -3.588342
-14.979365 -14.820099 -0.529695
-13.066066 -13.114918 -0.358050
-5.232369 -5.648617 -0.196969
-0.104542 0.122823 -1.409969
0.050597 0.001786 0.083317
-0.061415 0.066986 -0.059496
-0.437665 -0.358183 -0.179408
-0.026622 -0.004282 -0.007768
-0.186935 -0.129659 -0.056308
0.003627 -0.014547 -0.010706
0.007319 0.012371 0.004543
-0.048327 -0.054971 -0.044932
0.274344 0.237153 0.115403
0.339245 0.210040 0.167467
0.238850 0.220515 0.081388
-0.143747 -0.028278 -0.120081
-0.740031 -0.852879 -0.297879
0.759318 0.724769 0.292364
0.638761 0.488550 0.139544
1.700851 0.980463 0.564424
1.324754 1.415985 0.512286
-1.775505 -1.357557 -1.012208
-4.193913 -4.728877 -1.038602
0.357467 0.871913 0.117981
-2.819508 -2.747273 -0.844219
-1.503983 -1.204840 1.000558
-0.952783 -1.076632 -0.244335
