#QM    interpInQMgrid400k    MM
-0.789748 -10.989716 -0.118052
1.322473 -42.900829 0.491575
-0.647694 34.045736 -0.038679
-1.054559 -41.012607 -0.744944
1.305585 -0.584687 0.427312
0.438165 -12.705723 0.173953
-0.120436 3.756936 -0.077974
-0.199338 -2.000937 -0.114827
-0.555639 -8.470860 -0.259127
-0.332314 12.652960 -0.020525
-0.917203 -29.474050 -0.448721
-0.317056 -16.003034 -0.167165
-0.180290 -16.079421 -0.137046
0.173990 -14.482396 0.095557
1.263407 -2.399429 0.549595
1.856076 -27.020405 0.462175
-2.054918 -45.027396 -1.146298
0.222742 7.368773 0.218730
1.647485 -22.413923 1.133814
-1.682832 -48.440906 -0.810794
1.326922 10.305290 0.426551
-1.501150 40.049665 -0.760101
0.178341 6.959484 -0.040756
0.420285 9.896391 0.176279
0.264911 -17.698783 0.047370
-0.226475 3.231708 -0.135006
1.383299 27.224300 0.529326
0.332538 -36.848799 -0.236935
-3.541928 -40.329194 -1.417285
-0.328842 -56.245639 -0.091307
-1.687101 8.241518 -0.572778
-1.614310 -5.766315 -0.671071
1.256890 -32.590133 0.211594
-0.119741 39.946891 0.024330
0.479643 37.828138 0.320488
-7.440539 -6.627000 -1.734757
-3.347210 -56.713464 -1.197507
-4.106919 -44.821994 -1.992773
-0.583878 -14.866598 -0.372072
-0.032703 31.725287 0.018139
0.182794 -25.029116 -0.000582
0.205376 36.057691 0.213495
0.149372 -14.282315 0.274012
-0.193122 -4.453475 0.003044
0.049820 -27.586501 -0.041145
-0.388754 -3.814077 -0.134316
0.018714 -4.997833 -0.110728
1.384215 26.852540 0.958276
-1.327902 48.379806 -0.513838
2.094825 40.446779 1.289254
0.162676 -12.268914 0.253605
1.245869 17.328796 0.457800
-0.645503 -47.451187 -0.394890
1.485443 -40.772937 0.403752
2.466572 49.513025 1.056280
0.434865 11.687625 -0.271233
-1.443471 33.425508 -0.512708
-1.491331 -7.551021 -0.387921
1.764041 -43.822263 0.674234
-0.508026 -24.281162 -0.202811
-0.200249 12.990660 -0.168442
0.483865 4.412318 0.263871
-0.485063 -22.134416 -0.378515
-0.478825 -15.960296 -0.149460
0.425923 15.478580 0.103296
-0.387251 4.382226 -0.205854
-0.324610 -0.175305 -0.107317
-0.060815 -0.036603 -0.048837
2.618150 -50.293360 1.220498
4.425231 20.773146 2.895880
-0.448914 60.257657 -0.827172
-0.493560 -15.875492 -0.800159
9.535887 -53.521184 3.619858
-3.441982 -37.200671 -1.320418
0.118749 45.411653 0.004328
-2.997829 -4.492361 -1.164794
0.597203 5.980261 0.625925
-0.346133 -17.917865 -0.154271
3.589391 -65.861282 1.091404
