#QM    interpInQMgrid400k    MM
-0.324783 -0.308694 -0.127541
-0.627557 -0.702701 -0.329528
-0.212466 -0.188271 -0.196553
1.457969 1.428061 0.522756
-2.250064 -2.231243 -1.321960
-0.162099 -0.239223 -0.099386
2.845231 2.282359 1.017538
0.115640 0.067660 0.111188
-0.583249 -0.546084 -0.035354
3.590581 3.739595 1.186799
-1.607271 -1.479180 -0.665614
0.719692 1.066024 0.591578
0.420298 0.481296 0.272151
-0.219289 -0.190849 -0.198580
0.003828 -0.063964 0.013178
-0.983542 -0.997791 -0.437241
-1.213474 -1.139763 -0.687399
-0.342810 -0.360486 -0.139265
-0.155187 -0.156437 -0.183881
-2.552667 -2.566002 -1.383731
-0.150966 -0.138470 -0.086394
-1.570336 -1.590619 -0.712119
5.034432 5.073126 3.717889
0.454309 0.293582 0.164911
1.847258 1.592743 0.660520
-0.253412 -0.218697 -0.057888
0.257600 0.230383 0.063211
0.335497 0.301119 0.151958
0.534476 0.458399 0.307542
-0.131433 -0.119402 -0.079787
12.098492 12.219383 4.972727
0.595958 0.611065 0.354003
0.531396 0.528680 0.355891
0.075105 -0.029738 0.022408
0.802431 0.749510 0.468362
0.781352 0.547570 -0.358872
-0.458883 -0.520674 -0.199825
0.365324 0.344802 0.525347
-1.924518 -1.854307 -0.824311
-1.017901 -0.985897 -0.443176
-1.872299 -2.039525 -1.046453
0.215762 0.074897 0.240261
12.118107 11.874661 2.666640
0.054973 0.058632 -0.026953
5.539210 5.525749 1.630527
-0.495473 -0.497760 -0.266493
56.664750 56.306978 15.056046
-0.222502 -0.166215 -0.132244
0.053193 0.121276 0.458151
0.227565 0.240380 0.211694
-0.001210 -0.086804 -0.525108
-2.291695 -2.720543 -1.337209
-0.557733 -0.533241 0.343996
-0.647837 -0.524895 -0.209131
2.601944 2.739444 0.117458
-0.189066 -0.243427 -0.102737
-1.532731 -1.512066 -0.308743
-0.277350 -0.127242 -0.145686
1.065385 1.093374 0.248614
-0.661207 -0.689004 -0.176465
2.646888 2.697771 0.431689
-0.017850 -0.046529 -0.086383
0.619852 0.701242 0.322211
2.676754 2.675807 1.448106
-0.517038 -0.454696 -0.480997
0.190331 0.165788 0.060559
-0.186441 -0.151927 -0.068795
-1.823071 -1.371362 -0.809757
0.431345 0.356103 0.144724
-0.560679 -0.481742 -0.271967
-0.490182 -0.892209 -0.266313
1.462366 1.510182 0.577484
-0.678277 -0.855170 -0.352167
-0.795710 -0.923703 -0.303048
0.328015 0.216599 0.178229
3.755097 3.827349 2.151747
0.261063 0.223048 0.122889
-0.340624 -0.366363 -0.130208
-2.095817 -2.262649 -1.034954
0.329583 0.258608 0.236739
-0.157901 -0.100449 -0.040223
-0.424638 -0.445914 0.349730
0.180887 0.083561 0.330394
0.770543 0.496871 0.461426
0.141504 0.234945 0.124357
-1.968586 -2.007933 -1.103136
0.004424 -0.022185 -0.030261
1.035493 1.027875 0.768713
-0.331472 -0.623190 -0.075589
0.073537 0.008006 0.070898
14.683461 14.687854 12.443413
1.075841 1.059031 0.454692
-1.356163 -1.386581 -0.400154
-0.369770 -0.339205 -0.232143
3.420309 2.939473 1.519501
0.027634 -0.118371 0.221890
0.153513 0.162547 0.064674
-0.126247 -0.142404 -0.061904
1.040773 1.220224 0.655846
-0.634567 -0.539360 -0.135500
-0.145182 -0.107834 -0.062119
-1.073685 -1.066926 -0.916577
-1.740275 -1.726569 -1.067034
-1.252131 -0.698569 -0.401093
0.517634 0.622058 0.343534
-1.201463 -1.114379 -0.602702
0.889353 0.960446 0.524479
0.297399 0.271277 0.180338
0.196728 0.177340 0.172808
-0.693739 -0.669541 0.046650
0.241435 0.265340 0.267828
0.131901 0.197350 0.069323
